Temperature_A	Temperature_C	Log_Pressure
155.005	155.001	8.73e-08
155.004	155.001	8.73e-08
155.005	155	8.73e-08
155.005	155	8.73e-08
155.004	155	8.73e-08
155.005	155.002	8.73e-08
155.005	155	8.73e-08
155.003	155.001	8.73e-08
155.003	155.001	8.73e-08
155.002	155	8.71e-08
155.002	155.001	8.71e-08
155	155	8.73e-08
155.001	154.998	8.73e-08
154.999	154.998	8.71e-08
155	154.999	8.71e-08
155	155	8.73e-08
154.999	155	8.73e-08
154.999	154.999	8.73e-08
155	154.999	8.73e-08
154.999	154.999	8.73e-08
154.999	155.001	8.73e-08
154.998	154.999	8.73e-08
154.997	155.001	8.73e-08
154.997	154.999	8.71e-08
155	154.999	8.73e-08
154.997	155.001	8.73e-08
154.999	155.001	8.73e-08
154.996	155	8.73e-08
154.999	155.002	8.73e-08
154.998	155.001	8.71e-08
154.997	155.002	8.71e-08
154.999	155.002	8.71e-08
154.998	155.002	8.71e-08
154.998	155.001	8.71e-08
154.998	155.002	8.71e-08
154.998	155.002	8.71e-08
154.997	155.002	8.71e-08
155	155.002	8.71e-08
155	155.003	8.71e-08
154.999	155.001	8.71e-08
155	155.003	8.71e-08
154.998	155.001	8.71e-08
155	155.001	8.71e-08
155	155.002	8.71e-08
155.001	155.003	8.71e-08
155	155.002	8.71e-08
155	155.001	8.71e-08
155.001	155.003	8.69e-08
155.002	155.002	8.69e-08
155.003	155.002	8.69e-08
155.004	155	8.69e-08
155.002	155	8.69e-08
155.002	155.001	8.69e-08
155.001	155	8.69e-08
155.004	155	8.69e-08
155.002	154.999	8.69e-08
155.002	154.999	8.69e-08
155	155	8.69e-08
155.002	154.999	8.69e-08
155.001	155	8.69e-08
155.001	155	8.69e-08
155.001	155	8.69e-08
155.002	155	8.69e-08
155.002	155.001	8.69e-08
155	154.999	8.69e-08
154.999	154.999	8.69e-08
155.002	155	8.69e-08
155.002	155.001	8.67e-08
155.001	154.999	8.69e-08
154.999	154.998	8.69e-08
155	155	8.67e-08
154.998	155	8.69e-08
155	154.998	8.69e-08
154.998	155	8.69e-08
154.998	155	8.69e-08
154.998	155	8.67e-08
154.998	155	8.69e-08
154.998	154.998	8.67e-08
154.998	155.001	8.69e-08
154.999	155.001	8.69e-08
154.998	155.001	8.69e-08
154.998	155	8.69e-08
154.998	155	8.69e-08
154.998	155.001	8.69e-08
154.997	155	8.67e-08
154.998	155.002	8.69e-08
154.998	155	8.69e-08
155	155.001	8.67e-08
155.001	155.001	8.69e-08
155	155	8.67e-08
154.999	155.001	8.67e-08
154.997	155	8.67e-08
154.995	155	8.67e-08
154.997	155	8.67e-08
154.998	155.001	8.67e-08
154.995	155	8.67e-08
154.996	155	8.67e-08
154.996	155.001	8.67e-08
154.996	155.001	8.67e-08
154.996	155.002	8.67e-08
154.996	155.001	8.67e-08
154.997	155.001	8.67e-08
154.996	155.002	8.67e-08
154.996	155.001	8.67e-08
154.996	155	8.67e-08
154.996	155.001	8.67e-08
154.997	155.001	8.67e-08
154.997	155.001	8.67e-08
154.997	155	8.67e-08
154.997	155	8.67e-08
154.998	155.001	8.67e-08
154.998	155	8.67e-08
154.998	155	8.67e-08
154.998	155.002	8.67e-08
155	155	8.67e-08
155.001	155.001	8.67e-08
155.001	155	8.67e-08
155.001	155	8.67e-08
155	155	8.67e-08
155.002	155.001	8.67e-08
155.002	155.001	8.67e-08
155	155	8.67e-08
155.002	155	8.67e-08
155.002	155.002	8.67e-08
155.002	154.999	8.67e-08
155.002	155.001	8.67e-08
155.002	155.001	8.67e-08
155.001	155	8.67e-08
155.001	155	8.67e-08
155.001	155	8.67e-08
155.002	155	8.67e-08
155	154.999	8.67e-08
155.001	154.999	8.67e-08
155.001	155.002	8.67e-08
155	155	8.67e-08
154.997	154.998	8.67e-08
155.001	154.999	8.67e-08
154.998	154.999	8.67e-08
154.998	155.001	8.67e-08
154.998	154.999	8.67e-08
154.997	155	8.67e-08
154.997	154.999	8.67e-08
154.997	154.999	8.67e-08
154.994	155	8.67e-08
154.995	154.999	8.67e-08
154.994	155	8.67e-08
154.994	154.999	8.67e-08
154.995	154.999	8.67e-08
154.992	154.999	8.67e-08
154.995	154.999	8.67e-08
154.995	154.999	8.67e-08
154.994	154.999	8.67e-08
154.993	154.998	8.67e-08
154.995	154.999	8.67e-08
154.994	154.999	8.67e-08
154.994	154.998	8.67e-08
154.996	155	8.67e-08
154.996	154.997	8.67e-08
154.996	155	8.67e-08
154.995	154.998	8.67e-08
154.996	154.999	8.67e-08
154.997	155	8.64999e-08
154.996	154.998	8.64999e-08
154.997	154.999	8.64999e-08
154.996	154.999	8.64999e-08
154.993	154.999	8.64999e-08
154.996	154.999	8.64999e-08
154.994	154.999	8.64999e-08
154.998	154.999	8.64999e-08
154.998	155	8.64999e-08
154.998	154.998	8.64999e-08
154.996	154.999	8.64999e-08
154.999	155.001	8.64999e-08
154.999	155	8.64999e-08
154.999	154.998	8.64999e-08
154.997	154.998	8.64999e-08
154.998	154.999	8.64999e-08
155.001	154.998	8.64999e-08
155.001	155	8.64999e-08
155	155	8.64999e-08
155.003	154.999	8.64999e-08
155	155.001	8.64999e-08
155.001	154.999	8.64999e-08
155	155	8.64999e-08
155.002	155.001	8.64999e-08
155.003	155	8.64999e-08
155.004	154.999	8.64999e-08
155.003	155	8.64999e-08
155.004	155	8.63e-08
155.004	155	8.63e-08
155.004	155	8.63e-08
155.004	155	8.63e-08
155.004	155.001	8.63e-08
155.004	155.001	8.63e-08
155.002	155	8.63e-08
155.004	155	8.63e-08
155.004	155.001	8.63e-08
155.004	155.002	8.63e-08
155.005	155.002	8.63e-08
155.005	155.001	8.63e-08
155.005	155.001	8.63e-08
155.004	155.003	8.63e-08
155.003	155.001	8.63e-08
155.004	155.002	8.63e-08
155.004	155.001	8.63e-08
155.004	155.002	8.63e-08
155.002	155.001	8.63e-08
155.003	155	8.63e-08
155.002	155.002	8.63e-08
155.002	155.001	8.63e-08
155.003	155.002	8.63e-08
155.002	154.999	8.63e-08
155.002	155.001	8.63e-08
155.002	155.002	8.63e-08
155.001	155.001	8.63e-08
154.999	155	8.63e-08
155	155.001	8.63e-08
154.999	155	8.63e-08
155	155.002	8.63e-08
155	155.001	8.64999e-08
155	155	8.63e-08
155	155.001	8.63e-08
155.001	155.002	8.64999e-08
155	155.001	8.64999e-08
154.999	155	8.64999e-08
155.001	155	8.63e-08
154.999	155	8.64999e-08
154.997	154.999	8.64999e-08
155	155	8.64999e-08
154.998	155	8.64999e-08
154.998	154.999	8.64999e-08
154.998	154.999	8.64999e-08
154.998	154.998	8.64999e-08
155	155	8.64999e-08
154.998	154.998	8.64999e-08
154.998	154.998	8.64999e-08
154.999	154.999	8.64999e-08
154.999	155	8.64999e-08
154.998	155.001	8.64999e-08
154.999	155	8.64999e-08
154.999	155	8.64999e-08
154.998	155	8.64999e-08
154.996	154.999	8.64999e-08
154.998	155	8.64999e-08
154.998	155	8.64999e-08
154.997	155	8.64999e-08
154.995	155	8.64999e-08
154.997	154.998	8.64999e-08
154.997	155.001	8.64999e-08
154.996	154.999	8.64999e-08
154.996	155	8.64999e-08
154.997	154.999	8.64999e-08
154.997	154.998	8.67e-08
154.999	154.998	8.64999e-08
154.998	155	8.67e-08
154.999	155	8.64999e-08
154.999	155	8.64999e-08
154.999	154.999	8.67e-08
155.001	155	8.67e-08
155	155	8.67e-08
155.001	155	8.64999e-08
155.002	155	8.64999e-08
155.002	155	8.67e-08
155.004	155.002	8.64999e-08
155.003	154.999	8.64999e-08
155.003	155.001	8.64999e-08
155.004	155	8.64999e-08
155.005	155.002	8.64999e-08
155.004	155	8.64999e-08
155.004	155	8.64999e-08
155.004	155.001	8.64999e-08
155.004	155.001	8.64999e-08
155.001	155.001	8.64999e-08
155.004	155.001	8.64999e-08
155.004	155	8.64999e-08
155.004	155.001	8.64999e-08
155.002	154.999	8.64999e-08
155	154.999	8.64999e-08
155.003	155	8.63e-08
155.004	154.999	8.63e-08
155.001	155	8.63e-08
155.002	155	8.63e-08
155.004	154.998	8.63e-08
155.001	155.002	8.63e-08
155.002	154.999	8.63e-08
155.002	155.002	8.63e-08
155.003	155	8.63e-08
155.002	155	8.63e-08
155.003	155.001	8.63e-08
155.003	155	8.63e-08
155.002	155	8.63e-08
155.002	155	8.63e-08
155.002	155	8.61e-08
155.001	155.002	8.61e-08
155.003	155.003	8.61e-08
155	155	8.61e-08
155.001	155.003	8.61e-08
155	155.001	8.61e-08
155.001	155.002	8.61e-08
155.002	155.002	8.61e-08
154.998	155.001	8.61e-08
154.999	155.001	8.61e-08
154.997	155.003	8.61e-08
155	155.002	8.61e-08
154.998	155.002	8.61e-08
154.998	155	8.61e-08
154.997	155.001	8.61e-08
154.996	155.002	8.61e-08
154.997	155.002	8.61e-08
154.996	155.003	8.61e-08
154.997	155.001	8.61e-08
154.996	155.001	8.61e-08
154.994	155.001	8.61e-08
154.998	155.001	8.61e-08
154.996	155	8.61e-08
154.997	155.001	8.61e-08
154.996	155.001	8.61e-08
154.996	155	8.61e-08
154.995	155	8.61e-08
154.998	155	8.61e-08
154.996	155.002	8.61e-08
154.997	154.999	8.61e-08
154.997	154.998	8.61e-08
154.996	154.999	8.61e-08
154.998	155	8.61e-08
154.997	154.999	8.61e-08
154.998	154.999	8.61e-08
154.999	154.999	8.61e-08
154.997	155.001	8.61e-08
155	154.999	8.61e-08
155	155	8.61e-08
155	154.998	8.61e-08
155	154.999	8.61e-08
155	154.998	8.61e-08
155.001	154.999	8.61e-08
154.999	154.998	8.61e-08
155.001	154.998	8.61e-08
155.001	155	8.61e-08
155.003	155	8.61e-08
155.003	154.999	8.61e-08
155.001	154.999	8.61e-08
155.003	154.999	8.61e-08
155.003	154.998	8.61e-08
155.002	155	8.61e-08
155.002	155	8.61e-08
155.001	154.999	8.61e-08
155.001	154.999	8.61e-08
155	154.998	8.61e-08
154.999	154.998	8.61e-08
154.999	154.998	8.61e-08
154.999	154.998	8.61e-08
154.998	154.997	8.61e-08
154.997	154.999	8.61e-08
154.997	154.999	8.61e-08
154.996	154.998	8.61e-08
154.998	154.999	8.61e-08
154.996	155	8.61e-08
154.994	154.998	8.61e-08
154.995	154.999	8.61e-08
154.996	155.001	8.61e-08
154.995	155	8.61e-08
154.996	155	8.59e-08
154.995	154.997	8.61e-08
154.998	155	8.61e-08
154.997	154.998	8.61e-08
154.996	155.001	8.59e-08
154.997	155	8.59e-08
154.997	154.999	8.59e-08
154.999	155	8.59e-08
154.999	155	8.59e-08
155	155	8.59e-08
155.001	155	8.59e-08
155	155	8.59e-08
155	154.998	8.59e-08
154.998	154.999	8.59e-08
154.998	154.999	8.59e-08
155	155	8.59e-08
154.997	154.998	8.59e-08
155	155.001	8.57e-08
155.003	155.001	8.57e-08
155.001	155.001	8.57e-08
155	155.001	8.57e-08
155.001	154.999	8.57e-08
155.002	155.002	8.57e-08
155.003	155	8.57e-08
155.002	154.999	8.57e-08
155.002	155	8.57e-08
155.002	154.999	8.57e-08
154.999	154.997	8.57e-08
155.001	154.999	8.57e-08
154.999	154.998	8.57e-08
155	155	8.57e-08
154.999	155	8.57e-08
154.998	154.999	8.57e-08
154.998	154.998	8.57e-08
154.998	155	8.57e-08
154.999	154.999	8.57e-08
154.998	154.999	8.57e-08
154.997	155.001	8.57e-08
155	155	8.57e-08
155.001	155.001	8.57e-08
155.001	155	8.57e-08
155	155	8.57e-08
154.999	155.001	8.57e-08
155	154.999	8.57e-08
155	155	8.57e-08
155	154.999	8.57e-08
155.001	154.998	8.57e-08
154.999	155.001	8.57e-08
154.997	155.001	8.57e-08
154.997	155	8.57e-08
154.999	154.998	8.55e-08
154.997	154.999	8.55e-08
154.998	155	8.55e-08
155	155	8.55e-08
154.998	155	8.55e-08
154.999	154.999	8.55e-08
155	154.998	8.55e-08
155	154.999	8.55e-08
